标题,类型,地点,价格,评分,收藏数,地区
自助麻将机/巨幕投影/茶颜悦色/德思勤/步步高/汽车南站/井湾子/红星美凯龙/国际会展/省政府/女子学院,整套3室 · 3床 · 可住6~8人,德思勤城市广场,¥658,5.0,169,长沙
以消毒 安心住 高铁南站 新房特价大床房,整套1室 · 1床 · 可住2人,长沙南站,¥108,5.0,79,长沙
可以做饭的套房双床房／德思勤商业广场/落地窗／民宿风格／拍照打卡／二十四小时书店正对面／,整套1室 · 2床 · 可住4~5人,德思勤城市广场,¥229,3.6,34,长沙
【星城民宿】混凝土复古风，五一广场地铁4号口近国金中心步行街黄兴广场,整套1室 · 1床 · 可住2人,距五一广场直线284米 芙蓉区,¥208,4.7,235,长沙
【半寸时光·织雨】全屋消毒｜五一广场｜国金IFS｜橘子洲｜解放西｜文和友｜茶颜悦色｜120寸投影｜地铁口｜行李寄存,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥500,4.3,10,长沙
[野望·清白之年] 五一广场/IFS/双地铁口/太平老街/巨幕投影/文艺舒适大床房,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥270,4.8,978,长沙
近梅溪湖【逸萱·雅筑】麻将房/大床房/聚会优选/办公出差旅行/梅溪湖高端loft复式公寓/麓谷涉外五一广场黄兴广场橘子洲,整套2室 · 2床 · 可住4人,梅溪湖/洋湖风景区,¥268,5.0,119,长沙
【晓筑·四月蔷薇】五一地铁口/创意三床/巨屏高清投影/五一广场/贺龙,整套2室 · 3床 · 可住6人,五一广场/贺龙,¥350,5.0,120,长沙
【北固】「栀晓」可月租【江景】丨IMAX巨幕影院丨全智能家居丨五一广场、黄兴广场地铁口丨直达橘子洲丨三室一厅配备厨房,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥700,4.8,406,长沙
【悦步归宿•唯里】智能家居/五一广场公寓/黄兴街/太平老街/解放西路/复式/坡子街/岳麓山/橘子洲,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥569,4.6,33,长沙
可月租【湘江之畔】麻将机/巨幕投影仪/看橘子洲岳麓山/超级文和友/五一广场/太平街/江景豪华大四居,整套4室 · 4床 · 可住8人,五一广场/贺龙,¥703,5.0,515,长沙
【久桐-蒙马特尔晨景】高层落地窗|观夕阳星城|可住四人|网红打卡|五一广场|乐和城|双地铁口|大投影,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥550,5.0,93,长沙
【拾八｜迷幻之城】｜巨幕投影｜国金街 | 五一广场 | 高空城景｜可住4人｜近地铁400米 |,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥320,5.0,132,长沙
{月租优惠，房间己消毒可以安心入住}近国金中心/五一广场/坡子街太平老街江景烟花房。,整套1室 · 2床 · 可住4人,距五一广场直线732米 天心区,¥158,4.6,235,长沙
【拾八｜隔山看海】｜巨幕投影｜国金街 | 五一广场 | 高空城景｜可住8人｜近地铁400米 |,整套2室 · 4床 · 可住8人,五一广场/贺龙,¥399,4.4,74,长沙
【北固】「酥山」三室一厅丨IMAX巨幕影院丨五一广场地铁口丨五一广场、黄兴广场丨直达橘子洲、岳麓山,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥700,4.9,377,长沙
心宿 暖居 全屋消毒｜loft复式|高清投影房｜五一广场｜芙蓉广场｜地铁口｜国金中心IFS｜乳胶床垫｜太平老街｜可住4人,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥660,5.0,33,长沙
心宿 简一 已消毒安心住｜loft复式｜高空夜景｜投影｜五一广场｜地铁口｜国金IFS｜坡子街｜米粉街｜2居室｜自助入住,整套2室 · 2床 · 可住4~6人,五一广场/贺龙,¥689,5.0,56,长沙
【橘上民宿-念奴娇】投影大床房/近公交、地铁站/五一广场/ifs国金中心/橘子洲/岳麓山/坡子街/解放西/已消毒安心住,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥128,5.0,35,长沙
【别院小栖】露天庭院花园民宿/双床房/五一广场/黄兴广场/国金中心/太平街/橘子洲/都正街/可朋友聚会,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥318,5.0,129,长沙
【晓筑·五月紫藤】五一广场/地铁口/创意双床房可住四人/高清巨屏投影/长沙网红民宿,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥300,5.0,76,长沙
地铁口/解放西五一广场商圈/国金中心/太平街/橘子洲，芙蓉广场地铁简单一居室,整套1室 · 1床 · 可住2人,距五一广场直线756米 芙蓉区,¥208,4.9,711,长沙
【宅上·麦田恋歌】湘江风光带地铁口/坡子街火宫殿/五一商圈吃货天堂/日式榻榻米/公卫特价房,整套1室 · 1床 · 可住2人,距五一广场直线796米 天心区,¥168,4.6,2802,长沙
【悦步归宿•豆蔻】五一广场麻将房/ifs/国金中心/文和友/投影/岳麓山/橘子洲/省博物馆/世界之窗近地铁,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥398,4.8,606,长沙
【飞屋环游记】五一广场太平街坡子街亲子 海洋球滑滑梯 麻将机  三室两厅 可加床,整套3室 · 3床 · 可住6~10人,五一广场/贺龙,¥854,5.0,37,长沙
【星月】日式清新高清投影一室一厅｜近长沙高铁南站茶颜悦色｜无接触管家密码入住｜地铁直达网红景点｜可长短租,整套1室 · 1床 · 可住2人,长沙南站,¥188,5.0,130,长沙
【青桔美居★临居】【已消毒 安心住】地铁口/植物园/天际岭公园/德思勤/高铁南站/红星会展中心/居家三房双卫,整套3室 · 3床 · 可住6人,德思勤城市广场,¥268,5.0,84,长沙
也趣·榻榻米||花园别墅/享庭院景/可月租#投影仪|岳麓山大学城|近湖南大学中南大学/步行可达地铁站,整套1室 · 1床 · 可住2人,岳麓山大学城,¥288,5.0,538,长沙
『已消毒』【花漾民宿】 简约大床投影房/五一广场/市中心/近地铁/国金中心/步行街/橘子洲头/文和友,整套1室 · 1床 · 可住2人,距五一广场直线285米 芙蓉区,¥199,4.9,705,长沙
【日式投影LOFT】月租优惠/近五一广场/芙蓉广场/双地铁口/巨幕投影/IFS国金中心/拎包入住,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥428,5.0,356,长沙
栗子家北欧投影三床loft/南门口/黄兴路步行街/步梯房3楼,整套1室 · 2床 · 可住5人,五一广场/贺龙,¥278,5.0,1935,长沙
花样选房【拾八｜秋】人气拍照榜｜ins风榻榻米｜高空城景｜洗衣机冰箱｜可住六人｜近地铁｜橘子洲｜五一广场,整套1室 · 3床 · 可住6人,五一广场/贺龙,¥399,4.5,262,长沙
白茶-落地窗270度长沙景/投影双床/五一广场/近地铁/国金中心/ins北欧风,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥328,4.9,2220,长沙
【北固】「Mary·颜」IFS打卡丨近地铁口丨巨幕影院丨全智能家居丨厨具配备适合家庭出行丨国金IFS丨五一广场丨茶颜悦色,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥700,4.8,519,长沙
独栋洋楼5室6卫/麻将/投影/五一广场坡子街太平街文和友,整套5室 · 5床 · 可住10人,五一广场/贺龙,¥1000,5.0,54,长沙
三顾•春天里/双地铁口200米/五一广场/国金IFS/太平街/橘子洲/湘江/岳麓山/2居,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥358,4.4,135,长沙
【曼妙·纱纱】房型随机/特价/不含电和卫生费正地铁口/美食广场/临近高铁南站/吾悦广场/,整套1室 · 1床 · 可住2人,长沙南站,¥208,5.0,1284,长沙
在云端loft两房/中南大学湘雅医院/富兴时代/省博物馆,整套2室 · 2床 · 可住4人,北辰/中南大学湘雅医院,¥328,4.6,50,长沙
【ONE-Home 灯夜】loft复式/五一广场/地铁口/投影仪/双床房可住四人/新小区,整套1室 · 2床 · 可住4~6人,五一广场/贺龙,¥358,5.0,61,长沙
【美舍·贝儿】五一广场/四房四床两卫/IFS/美式经典,整套4室 · 4床 · 可住8人,距五一广场直线1.1公里 芙蓉区,¥500,5.0,80,长沙
长沙品质房源榜【雯雯的家】阳光城10/卧室有门独立/轻奢loft设计师品牌/巨幕投影/洗衣机冰箱/地铁二号线/五一广场/,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥398,5.0,231,长沙
独套高层江景房专享，房间已消毒可以安心入住}近国金中心:步行街:太平街:坡子街。,整套1室 · 1床 · 可住2人,距五一广场直线732米 天心区,¥168,4.6,559,长沙
【ONE-Home 桔梗】loft复式/五一广场/地铁口/投影仪/双床房可住两人/新小区,整套2室 · 3床 · 可住4~6人,五一广场/贺龙,¥388,5.0,101,长沙
【花小桃-黄】可月租 复古风公寓/临德思勤/汽车南站/省植物园/湖南女子大学/高铁站/投影 可做饭,整套1室 · 1床 · 可住2人,德思勤城市广场,¥268,4.8,164,长沙
月租2600「简爱」南门口/长郡中学/市三医院/太平老街/贺龙体育馆/五一广场/简约一房,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥257,5.0,33,长沙
标准大床房,整套1室 · 1床 · 可住2人,长沙南站,¥88,5.0,16,长沙
【清魅】市中心/五一广场地铁口/大三居/可住六人/可做饭/近太平街/IFS国金中心/解放西/橘子洲,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥460,5.0,50,长沙
省府CBD红星德思勤女大简欧风独立公寓,整套1室 · 1床 · 可住2人,距长沙南站直线6.4公里 雨花区,¥239,4.6,295,长沙
【屿舍LOFT公寓】梅溪湖畔/湖景落地窗/高层景观/家庭影院/管家式服务/近地铁口/五一广场/岳麓山/解放西/国金中心,整套1室 · 1床 · 可住2人,梅溪湖/洋湖风景区,¥358,4.9,1,长沙
Yisù【丝绒拿铁】五一广场/双床/五一商圈/巨幕投影/太平街/坡子街/茶颜悦色,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥252,5.0,92,长沙
【芷有一间】五一广场时尚投影房，地铁口/五一广场/芙蓉广场/IFS国金中心/步行街/文和友/坡子街省人民医院（随机安排）,整套1室 · 1床 · 可住2人,距五一广场直线757米 芙蓉区,¥208,5.0,640,长沙
【拾八｜独上兰舟】｜巨幕投影｜国金街 | 五一广场 ｜可住六人｜近地铁400米 |,整套2室 · 3床 · 可住6人,五一广场/贺龙,¥460,3.9,29,长沙
【悦步归宿•森林城堡】袁家岭地铁口/五一广场/黄兴步行街/坡子街/太平老街/ifs/投影/火车站/可短租/可长租已消毒,整套3室 · 4床 · 可住8人,距五一广场直线2.1公里 芙蓉区,¥508,4.9,766,长沙
原木榻榻米投影房|近德思勤|省植物园|奥特莱斯|女子学院,整套1室 · 1床 · 可住2人,德思勤城市广场,¥219,4.4,21,长沙
颜如寓（长租优惠）芙蓉广场地铁口|和府大厦|五一广场|五一大道|韭菜园米粉街|长沙打卡墙|IFS国金中心|橘子洲|北欧风,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥180,5.0,157,长沙
[野望·爱丽丝] 五一广场/IFS/太平老街/黄兴步行街/双地铁口/投影  法式风格舒适大床,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥270,4.9,1118,长沙
五一广场/国金中心IFS[简约投影一居室]近文和友/地铁步行2分钟,独立一间1室 · 1床 · 可住2~3人,五一广场/贺龙,¥179,4.8,551,长沙
【悦漫】复式投影大床｜欧式田园｜近万家丽｜扬帆夜市｜东盈广场｜马王堆｜2号线｜5号线｜五一广场｜南站｜火车站,整套1室 · 1床 · 可住2人,万家丽,¥272.5,5.0,160,长沙
宜悦温馨家庭套房/近长沙南站/平阳地铁站/长沙火车站/五一广场直达,整套1室 · 2床 · 可住3~5人,距长沙南站直线1.1公里 雨花区,¥238,4.7,1601,长沙
[听城●不晚]五一广场/IFS九龙仓城市地标/太平街、坡子街/双地铁口/巨幕投影/奶油中古风舒适双床房,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥511,5.0,243,长沙
【漫·玖】五一广场暮色投影大床房、坡子街、黄兴广场,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥238,4.7,793,长沙
周租/月租特惠. 【幽然居】五一广场/芙蓉广场/近地铁/IFS国金中心/中山亭/太平街/坡子街/高清投影/日式原木风,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥269,5.0,407,长沙
2.4米超宽大床投影房/中央空调/双地铁6号线与3号线朝阳村站/近五一广场/长沙火车站/照片不是照骗/高端干净整洁,整套1室 · 1床 · 可住2人,长沙火车站,¥179,4.8,1760,长沙
【北固】日式·「抹茶菩提」两室一厅可住四人丨可做简餐丨巨幕影院丨智能家居丨下楼坡子街解放西丨国金IFS丨美食环绕,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥600,4.8,550,长沙
【柠檬白兰地】正五一广场|乐和城|180℃落地窗|下沉式客厅|榻榻米三床|地铁口|巨幕投影|看江景,整套1室 · 3床 · 可住3~6人,五一广场/贺龙,¥550,4.8,749,长沙
智能门锁 高桥北地铁口斜对面150 出门就是万家丽朝晖路公交站台，交通方便,整套1室 · 1床 · 可住2~3人,长沙火车站,¥80,4.5,255,长沙
二十多层视野开阔|五一广场｜芙蓉广场｜中山路八一桥｜中山亭｜乐和城｜ifs国际中心｜无一大道｜橘子洲头｜韭菜园打卡长沙,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥175,4.7,168,长沙
花样选房【拾八-小樱家】人气拍照榜｜日式风榻榻米｜可住两人｜梦幻白纱落地窗｜高空城景｜洗衣机冰箱｜近地铁｜五一广场,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥259,5.0,315,长沙
【舍予·且慢】五一广场|免费寄存行李|高清投影|IFS国金|高层江景|地铁口|茶颜悦色|超级文和友|潮宗街,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥384,5.0,56,长沙
【拾八民宿-松岛葵】江景房/太平街/五一广场/和府+榻榻米+100寸投影仪幕布,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥259,4.5,198,长沙
呆享·季夏｜麻将/投影｜LOFT三房双卫｜楼下地铁站｜五一广场/四方坪夜市/湘江世纪城/北辰,整套3室 · 3床 · 可住6人,湘江世纪城,¥785,5.0,28,长沙
颜如寓(长租优惠)五一广场｜芙蓉广场｜中山路八一桥｜中山亭｜乐和城｜ifs国际中心｜五一大道｜橘子洲头｜韭菜园|烈士公园,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥218,5.0,56,长沙
【路客】【亲子出游】五一广场丨坡子街丨西路丨IFS国金中心丨近贺龙体育馆丨橘子洲丨万达广场丨3居,整套3室 · 3床 · 可住6人,距五一广场直线648米 开福区,¥835,4.8,550,长沙
长租特惠「七里香·大床房」视频验真/近五一商圈/湘雅二医院/地质中学/地铁口6号线/可长租/可做饭,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥247,4.8,68,长沙
已消毒【眠库·呼吸之野】五一广场·国金中心IFS·超级文和友·地铁口·免费寄存·一卧二床·24h无接触自助入住,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥368,5.0,67,长沙
【南风与世界】五一广场/双床房/五一商圈/巨幕投影/正地铁口/IFS/太平街/坡子街/茶颜悦色,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥252,5.0,89,长沙
【瞰洲】B超高性价比市中心醉美江景/橘子洲/五一广场/IFS国金中心/太平街/解放西/地铁口/文和友,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥357,5.0,89,长沙
Julihouse【渐暖】五一广场/IFS国金中心/温暖/巨幕投影/亲子游/落地窗景,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥360,5.0,22,长沙
三室四床配麻将机巨幕投影ins风可住8人/五一广场/黄兴广场地铁口旁/步行街IFS坡子街太平老街/可长租/岳麓山/～米家,整套3室 · 4床 · 可住8人,五一广场/贺龙,¥723,4.9,238,长沙
十壹民宿｜碧空凝眸｜巨屏投影/交通便捷/地铁站500米/国金中心/五一广场/,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥299,5.0,33,长沙
颜如寓(长租优惠)五一广场｜芙蓉广场｜中山路八一桥｜中山亭｜乐和城｜ifs国际中心｜五一大道｜橘子洲头｜韭菜园|烈士公园,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥188,5.0,58,长沙
【青桔★唯美】投影/地铁口/万家丽/德思勤/现代奶油风温馨大四房可住8人,整套4室 · 5床 · 可住8人,德思勤城市广场,¥508,5.0,28,长沙
【玖伍贰柒•七月上】五一广场/芙蓉广场地铁口/步行街/国金中心/太平街/橘子洲/三居室,整套3室 · 3床 · 可住6人,距五一广场直线589米 芙蓉区,¥498,4.8,1003,长沙
(长租优惠)五一广场｜芙蓉广场｜中山路八一桥｜中山亭｜乐和城｜ifs国际中心｜无一大道｜橘子洲头｜韭菜园打卡长沙|培元桥,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥180,5.0,244,长沙
